X.locale,Address.AddressLine1,Address.AddressLine2,Address.City,Address.CountryName,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.PostalCode,Address.Subdivision,AlternateIdentifier.ID,ID,IsDaylightSavingsTimeRecognized,LocationMilestones.LastRemodelDate,LocationMilestones.OpenDate,Name,OperatingHours..timeFormat,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,SubTypeDescription,TimeZone.TimeZoneCode,TimeZone.TimeZoneDescription,TimeZone.TimeZoneOffset.OffsetCode,TimeZone.TimeZoneOffset.OffsetHours,TypeCode,PhoneNumber,BeginTime.MF,Is24Hours.MF,IsOpen.MF,Summary.MF,ThruTime.MF,BeginTime.Sat,Is24Hours.Sat,IsOpen.Sat,Summary.Sat,ThruTime.Sat,BeginTime.Sun,Is24Hours.Sun,IsOpen.Sun,Summary.Sun,ThruTime.Sun,AllCapability
en-US,107 Pavilion Pkwy,,Fayetteville,United States,Fayette,"107 Pavilion Pkwy, Fayetteville, GA 30214-4098",NWC Pavilion Pkwy & State 85,30214-4098,GA,T0778,778,TRUE,2007-10-18T12:00:00,1995-10-04T12:00:00,Fayetteville,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 719-9766,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']"
en-US,1654 Gadsden Hwy,,Birmingham,United States,Jefferson,"1654 Gadsden Hwy, Birmingham, AL 35235-3104",NEC Gadsden Hwy & Morris Spg Ln,35235-3104,AL,T1773,1773,TRUE,,2000-10-04T12:00:00,Trussville,12-hour,340,394,300,SuperTarget,CST,Central Std Time,UTC,-6,STR,(205) 655-6950,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Caffe', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
en-US,5220 Jimmy Lee Smith Pkwy,,Hiram,United States,Paulding,"5220 Jimmy Lee Smith Pkwy, Hiram, GA 30141-2739",SEC US 278 & GA Rte 92,30141-2739,GA,T1400,1400,TRUE,,2002-03-06T12:00:00,Hiram,12-hour,336,394,300,SuperTarget,EST,Eastern Std Time,UTC,-5,STR,(678) 567-0142,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Caffe', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
en-US,250 S Colonial Dr,,Alabaster,United States,Shelby,"250 S Colonial Dr, Alabaster, AL 35007-4657",SEC I-65 & US Hwy 31,35007-4657,AL,T2276,2276,TRUE,,2007-07-25T12:00:00,Alabaster,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(205) 564-2608,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']"
en-US,3660 Marketplace Blvd,,East Point,United States,Fulton,"3660 Marketplace Blvd, East Point, GA 30344-5738",NWC I-285 & Camp Creek Pkwy,30344-5738,GA,T1546,1546,TRUE,2012-06-21T12:00:00,2003-07-23T12:00:00,East Point,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(404) 267-0063,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,531 Brookwood Village,,Homewood,United States,Jefferson,"531 Brookwood Village, Homewood, AL 35209-4501",SEC Brookwood Blvd & Shades Creek Pkwy,35209-4501,AL,T2796,2796,TRUE,,2013-03-06T12:00:00,Homewood,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(205) 994-7531,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,4125 Austell Rd,,Austell,United States,Cobb,"4125 Austell Rd, Austell, GA 30106-1836",SEC Austell Rd & E-W Connector,30106-1836,GA,T1164,1164,TRUE,2004-08-08T12:00:00,1999-03-03T12:00:00,Austell,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(678) 945-4550,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Caffe']"
en-US,5561 Grove Blvd,,Birmingham,United States,Jefferson,"5561 Grove Blvd, Birmingham, AL 35226-4600",NWC I-459 & John Hawkins Pkwy,35226-4600,AL,T2503,2503,TRUE,,2009-10-07T12:00:00,Hoover West,12-hour,340,394,300,SuperTarget,CST,Central Std Time,UTC,-6,STR,(205) 747-1654,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
en-US,2535 Dallas Hwy SW,,Marietta,United States,Cobb,"2535 Dallas Hwy SW, Marietta, GA 30064-2543",SWC Rt 120 & Villa Rica Rd,30064-2543,GA,T1165,1165,TRUE,2013-06-27T12:00:00,1998-10-07T12:00:00,West Marietta,12-hour,334,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 792-7933,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Caffe', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']"
en-US,3489 Lowery Pkwy,,Fultondale,United States,Jefferson,"3489 Lowery Pkwy, Fultondale, AL 35068-1677",SEC I-65 & Walker Chapel Rd,35068-1677,AL,T2355,2355,TRUE,,2007-10-10T12:00:00,Fultondale,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(205) 453-6032,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']"
en-US,3378 Cobb Pkwy NW,,Acworth,United States,Cobb,"3378 Cobb Pkwy NW, Acworth, GA 30101-8304",NEC Cobb Pkwy & Mars Hill Rd,30101-8304,GA,T2091,2091,TRUE,,2006-07-19T12:00:00,Acworth,12-hour,334,394,300,SuperTarget,EST,Eastern Std Time,UTC,-5,STR,(678) 202-0996,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
en-US,1850 Jonesboro Rd,,Mcdonough,United States,Henry,"1850 Jonesboro Rd, Mcdonough, GA 30253-5960",NWC I-75 & Jonesboro Rd,30253-5960,GA,T1461,1461,TRUE,,2002-07-24T12:00:00,McDonough,12-hour,346,394,300,SuperTarget,EST,Eastern Std Time,UTC,-5,STR,(678) 583-2184,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Caffe', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
en-US,375 18th St,,Atlanta,United States,Fulton,"375 18th St, Atlanta, GA 30363",NWC I-75/85 & 17th St,30363,GA,T2137,2137,TRUE,2012-03-22T12:00:00,2007-10-10T12:00:00,Atlanta Midtown,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(678) 954-4265,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']"
en-US,2201 Cobb Pkwy SE,,Smyrna,United States,Cobb,"2201 Cobb Pkwy SE, Smyrna, GA 30080-7633",SEC Cobb Pkwy & Windy Hill,30080-7633,GA,T0373,373,TRUE,2012-03-22T12:00:00,1989-04-26T12:00:00,Smyrna,12-hour,334,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 952-2241,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Caffe', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']"
en-US,1275 Caroline St NE,,Atlanta,United States,Dekalb,"1275 Caroline St NE, Atlanta, GA 30307-2705",SEC Moreland Ave & Caroline St,30307-2705,GA,T1964,1964,TRUE,2012-03-22T12:00:00,2005-03-02T12:00:00,Atlanta Edgewood,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(404) 260-0200,7:00:00,FALSE,TRUE,7:00 a.m.-11:00 p.m.,23:00:00,7:00:00,FALSE,TRUE,7:00 a.m.-12:00 a.m.,0:00:00,7:00:00,FALSE,TRUE,7:00 a.m.-11:00 p.m.,23:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']"
en-US,4889 Promenade Pkwy,,Bessemer,United States,Jefferson,"4889 Promenade Pkwy, Bessemer, AL 35022-7305",NEC I-459 & Eastern Valley Rd,35022-7305,AL,T2375,2375,TRUE,,2008-07-23T12:00:00,Bessemer,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(205) 565-3760,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']"
en-US,740 Ernest W Barrett Pkwy NW,,Kennesaw,United States,Cobb,"740 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144-6860",NWC I-75 & Ernest W Barrett,30144-6860,GA,T0981,981,TRUE,2012-06-21T12:00:00,1995-07-19T12:00:00,Cobb,12-hour,334,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 425-6895,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']"
en-US,2539 Piedmont Rd NE,,Atlanta,United States,Fulton,"2539 Piedmont Rd NE, Atlanta, GA 30324-3006",SEC Piedmont Rd & Sidney Marcus Blvd,30324-3006,GA,T2171,2171,TRUE,2012-06-21T12:00:00,2006-10-04T12:00:00,Buckhead South,12-hour,335,394,300,,EST,Eastern Std Time,UTC,-5,STR,(404) 720-1081,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,100 Cherokee Pl,,Cartersville,United States,Bartow,"100 Cherokee Pl, Cartersville, GA 30121-2954",NEC US 441 & GA 113,30121-2954,GA,T0969,969,TRUE,2017-03-30T12:00:00,1995-10-04T12:00:00,Cartersville,12-hour,334,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 387-9595,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['Caffe', 'Photo Lab', 'Starbucks']"
en-US,3535 Peachtree Rd NE,,Atlanta,United States,Fulton,"3535 Peachtree Rd NE, Atlanta, GA 30326-3287",SWC Peachtree Rd & Roxboro Rd,30326-3287,GA,T1197,1197,TRUE,2012-06-21T12:00:00,1999-07-21T12:00:00,Buckhead,12-hour,335,394,300,,EST,Eastern Std Time,UTC,-5,STR,(404) 237-9494,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Beauty Concierge', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']"
en-US,2400 N Druid Hills Rd NE,,Atlanta,United States,Dekalb,"2400 N Druid Hills Rd NE, Atlanta, GA 30329-3211",NEC Druid Hills Rd & Briarcliff Rd,30329-3211,GA,T1486,1486,TRUE,2013-03-21T12:00:00,2002-10-09T12:00:00,North Druid Hills,12-hour,335,394,300,,EST,Eastern Std Time,UTC,-5,STR,(404) 267-0060,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']"
en-US,5570 Roswell Rd,,Sandy Springs,United States,Fulton,"5570 Roswell Rd, Sandy Springs, GA 30342-1102",SWC Roswell Rd & I-285,30342-1102,GA,T2333,2333,TRUE,2013-10-10T12:00:00,2008-10-08T12:00:00,Sandy Springs Prado,12-hour,335,394,300,,EST,Eastern Std Time,UTC,-5,STR,(678) 704-8120,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']"
en-US,1401 Johnson Ferry Rd,,Marietta,United States,Cobb,"1401 Johnson Ferry Rd, Marietta, GA 30062-6495",NWC Johnson Ferry Rd & Roswell Rd,30062-6495,GA,T2121,2121,TRUE,2012-03-22T12:00:00,2007-10-10T12:00:00,Marietta East,12-hour,334,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 240-0005,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']"
en-US,140 Woodstock Square Ave,,Woodstock,United States,Cherokee,"140 Woodstock Square Ave, Woodstock, GA 30189-6500",SWC State Rte 92 & I-575,30189-6500,GA,T1780,1780,TRUE,,2001-03-07T12:00:00,Woodstock,12-hour,334,394,300,SuperTarget,EST,Eastern Std Time,UTC,-5,STR,(678) 494-5307,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
en-US,3040 Shallowford Rd,,Marietta,United States,Cobb,"3040 Shallowford Rd, Marietta, GA 30062-1252",SEC Shallowford & Sandy Plains,30062-1252,GA,T1106,1106,TRUE,2004-09-19T12:00:00,1997-10-08T12:00:00,Cobb NE,12-hour,334,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 321-8545,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00,"['Beauty Concierge', 'Caffe']"
en-US,100 Perimeter Center Pl,,Atlanta,United States,DeKalb,"100 Perimeter Center Pl, Atlanta, GA 30346-1204",NEC Perimeter Ctr & Crown Pt Pkwy,30346-1204,GA,T2036,2036,TRUE,,2005-10-05T12:00:00,Atlanta Perimeter,12-hour,335,394,300,SuperTarget,EST,Eastern Std Time,UTC,-5,STR,(678) 259-0888,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-12:00 a.m.,0:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,"['Accepts WIC', 'Bakery', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']"
